node_id,node_type,name,source,meta
1,ECGFinding,ST segment elevation,book_chapter,"{""original_text"": ""ST segment elevation"", ""data_source"": ""chapter_extraction_results.json""}"
2,Disease,Myocardial Injury,book_chapter,"{""original_text"": ""Myocardial Injury"", ""data_source"": ""chapter_extraction_results.json""}"
3,ECGFinding,ST-segment elevation,book_chapter,"{""original_text"": ""ST-segment elevation"", ""data_source"": ""chapter_extraction_results.json""}"
4,ECGFinding,reciprocal ST depression,book_chapter,"{""original_text"": ""reciprocal ST depression"", ""data_source"": ""chapter_extraction_results.json""}"
5,Disease,Transmural Ischemia,book_chapter,"{""original_text"": ""Transmural Ischemia"", ""data_source"": ""chapter_extraction_results.json""}"
6,ECGFinding,T-wave inversions,book_chapter,"{""original_text"": ""T-wave inversions"", ""data_source"": ""chapter_extraction_results.json""}"
7,Disease,Myocardial Ischemia,book_chapter,"{""original_text"": ""Myocardial Ischemia"", ""data_source"": ""chapter_extraction_results.json""}"
8,ECGFinding,Abnormal ventricular depolarization: Q waves,book_chapter,"{""original_text"": ""Abnormal ventricular depolarization: Q waves"", ""data_source"": ""chapter_extraction_results.json""}"
9,Disease,Myocardial Infarction,book_chapter,"{""original_text"": ""Myocardial Infarction"", ""data_source"": ""chapter_extraction_results.json""}"
10,ECGFinding,ST segment depression,book_chapter,"{""original_text"": ""ST segment depression"", ""data_source"": ""chapter_extraction_results.json""}"
11,ECGFinding,inverted T waves,book_chapter,"{""original_text"": ""inverted T waves"", ""data_source"": ""chapter_extraction_results.json""}"
12,ECGFinding,T wave peaking,book_chapter,"{""original_text"": ""T wave peaking"", ""data_source"": ""chapter_extraction_results.json""}"
13,Disease,Acute Myocardial Infarction,book_chapter,"{""original_text"": ""Acute Myocardial Infarction"", ""data_source"": ""chapter_extraction_results.json""}"
14,Disease,Hyperacute T Waves,book_chapter,"{""original_text"": ""Hyperacute T Waves"", ""data_source"": ""chapter_extraction_results.json""}"
15,ECGFinding,"Abnormalities in the ST segment, either elevation or depression",book_chapter,"{""original_text"": ""Abnormalities in the ST segment, either elevation or depression"", ""data_source"": ""chapter_extraction_results.json""}"
16,Disease,Ischemia/Infarction,book_chapter,"{""original_text"": ""Ischemia/Infarction"", ""data_source"": ""chapter_extraction_results.json""}"
17,ECGFinding,reciprocal ST segment depression,book_chapter,"{""original_text"": ""reciprocal ST segment depression"", ""data_source"": ""chapter_extraction_results.json""}"
18,ECGFinding,ST depression (reciprocal changes),book_chapter,"{""original_text"": ""ST depression (reciprocal changes)"", ""data_source"": ""chapter_extraction_results.json""}"
19,Disease,pericarditis,book_chapter,"{""original_text"": ""pericarditis"", ""data_source"": ""chapter_extraction_results.json""}"
