src,dst,src_neo4j_id,dst_neo4j_id,rel,decision,props_json
0,36,3,77,PART_OF,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""CCS, chronic coronary syndrome.""}"
1,2,5,6,CAUSES,,"{""source_sentences"": ""Third, in any given patient, myocardial ischaemia and angina symptoms may be caused by various underlying pathophysiological mechanisms, alone or in combination;6,512these may include obstruction of epicardial coronary arteries, vasospasm, and endothelial/microvascular dysfunction.""}"
1,86,5,326,CAUSES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Through the intravenous (i.v.) injection of contrast agent, CCTA allows direct anatomical visualization of the coronary artery lumen and wall.""}"
1,53,5,147,INDICATES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Invasive coronary angiography with available coronary pressure assessment49,308–311,313is indicated in patients with a very high (>85%) clinical likelihood of obstructive CAD,1in particular those with severe symptoms refractory to antianginal treatment, or characteristic angina or dyspnoea at a low level of exercise1,47or left ventricle dysfunction suggesting extensive obstructive CAD.47,182,314,315\nInvasive coronary angiography/coronary pressure assessment is also indicated if non-invasive assessment suggests high event risk—e.g. CCTA shows ≥50% left main stenosis, or ≥70% proximal LAD stenosis with single or two-vessel CAD, or ≥70% proximal three-vessel CAD56,182,316,317—or when any stress test shows moderate to severe inducible ischaemia316or when symptoms are highly suggestive for obstructive CAD.""}"
1,12,5,19,INDICATES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""The possibility of a microcirculatory origin of angina should be considered in individuals with symptoms suggestive of myocardial ischaemia and coronary arteries that are either normal or with non-obstructive lesions on CCTA or ICA.""}"
1,25,5,36,INDICATES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""The presence of myocardial ischaemia on functional imaging without obstructive CAD on CCTA or ICA should always raise the clinical suspicion of ANOCA/INOCA.""}"
1,155,5,639,PRECEDES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""About half of acute and chronic HF patients have an ischaemic aetiology.880,881Over the last decades, the proportion of ischaemic HFrEF has decreased while that of HFpEF, defined according to the 2021 ESC Guidelines for the diagnosis and treatment of acute and chronic heart failure,526has increased.882The evaluation of inducible ischaemia is important in patients with HF, given the high prevalence of CAD.883–885Moreover, patients with HFpEF may present MVA due to CMD.886Indeed, CMD was observed in up to 75% of patients with HFpEF and was associated with worse diastolic relaxation velocities, as well as higher filling pressures, and an increased risk of adverse events.883–885,887–890Clinical assessment alone may under-estimate the proportion of patients with obstructive or non-obstructive CAD, which can be found in up to 81% of HFpEF patients.887Under-estimation of obstructive CAD leads to failure in identifying those patients who may benefit from revascularization.""}"
1,224,5,1121,HAS_ONTOLOGY,,{}
2,1,6,5,INDICATES,,"{""source_sentences"": ""If frequent angina persists despite GDMT optimization, ICA or CCTA can assist in guiding treatment decisions.1177–1179When symptoms are uncertain, functional testing may help clarify the presence and extent of myocardial ischaemia.""}"
2,237,6,1134,HAS_ONTOLOGY,,{}
2,177,6,734,ASSOCIATED_WITH,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Angina with non-obstructive coronary arteries occurs in up to 70% of the patients undergoing ICA, of whom 25% have documented ischaemia (INOCA).""}"
2,1,6,5,CAUSES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Although angina that meets all three characteristics, with retrosternal chest discomfort provoked by exertion or emotional stress and relieved by rest or nitroglycerine, is highly suggestive of ischaemia caused by obstructive CAD, these characteristics are rarely all present when ischaemia is caused by microvascular dysfunction and vasospasm.""}"
2,0,6,3,INDICATES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""In contemporary studies, only 10% to 25% of patients with suspected CCS present with angina with classic aggravating and relieving factors, while 57% to 78% have symptoms less characteristic of angina and 10% to 15% have dyspnoea on exertion.33,57\nMain CCS symptoms: angina and exertional dyspnoea.""}"
