src,dst,src_neo4j_id,dst_neo4j_id,rel,relation_type,props_json
0,410,1812,1705,RELATED_TO,RELATED,"{""reason"": ""心肌梗死的广义概念，相关但不完全相同"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""similarity"": 0.7865006923675537, ""rank"": 5, ""relation_type"": ""RELATED""}"
0,33,1812,60,RELATED_TO,EXACT,"{""reason"": ""与标签完全相同（同义概念）"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""similarity"": 0.8946648836135864, ""rank"": 3, ""relation_type"": ""EXACT""}"
0,411,1812,1706,RELATED_TO,RELATED,"{""reason"": ""相关概念，涉及心肌缺血或梗死的情况"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""similarity"": 0.7184083461761475, ""rank"": 7, ""relation_type"": ""RELATED""}"
0,374,1812,1610,RELATED_TO,RELATED,"{""reason"": ""相关概念，具体的心肌梗死类型"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""similarity"": 0.7287676930427551, ""rank"": 6, ""relation_type"": ""RELATED""}"
0,226,1812,1123,RELATED_TO,EXACT,"{""reason"": ""与标签完全相同（同义概念）"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""similarity"": 0.894669771194458, ""rank"": 1, ""relation_type"": ""EXACT""}"
0,172,1812,696,RELATED_TO,EXACT,"{""reason"": ""与标签完全相同（同义概念）"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""similarity"": 0.8946648836135864, ""rank"": 2, ""relation_type"": ""EXACT""}"
0,393,1812,1660,RELATED_TO,RELATED,"{""reason"": ""相关概念，特定类型的心肌梗死"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""similarity"": 0.7119976282119751, ""rank"": 10, ""relation_type"": ""RELATED""}"
1,378,1813,1620,RELATED_TO,RELATED,"{""reason"": ""前壁心肌梗死同样与急性心肌梗死相关，但并不是直接的上位或下位关系。"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""similarity"": 0.6400941014289856, ""rank"": 9, ""relation_type"": ""RELATED""}"
1,393,1813,1660,RELATED_TO,RELATED,"{""reason"": ""该节点为远期前壁心肌梗死，虽然不是急性，但在心肌梗死谱系中相关。"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""similarity"": 0.7267626523971558, ""rank"": 5, ""relation_type"": ""RELATED""}"
1,226,1813,1123,RELATED_TO,EXACT,"{""reason"": ""节点与急性心肌梗死相符，是同义。"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""similarity"": 0.7331256866455078, ""rank"": 4, ""relation_type"": ""EXACT""}"
1,374,1813,1610,RELATED_TO,RELATED,"{""reason"": ""前壁心肌梗死是心肌梗死的一种，虽然不是急性，但相关度高。"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""similarity"": 0.6413514614105225, ""rank"": 8, ""relation_type"": ""RELATED""}"
1,33,1813,60,RELATED_TO,EXACT,"{""reason"": ""节点描述的也是急性心肌梗死，可视为同义。"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""similarity"": 0.733151912689209, ""rank"": 3, ""relation_type"": ""EXACT""}"
1,172,1813,696,RELATED_TO,EXACT,"{""reason"": ""节点与急性心肌梗死的定义一致，可以视为同义词。"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""similarity"": 0.733151912689209, ""rank"": 2, ""relation_type"": ""EXACT""}"
2,33,1814,60,RELATED_TO,RELATED,"{""reason"": ""相关概念，急性心肌梗死是广义的概念，包含不同部位的急性心肌梗死"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""similarity"": 0.7921937704086304, ""rank"": 3, ""relation_type"": ""RELATED""}"
2,172,1814,696,RELATED_TO,RELATED,"{""reason"": ""相关概念，急性心肌梗死是广义的概念，包含不同部位的急性心肌梗死"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""similarity"": 0.7921937704086304, ""rank"": 2, ""relation_type"": ""RELATED""}"
2,226,1814,1123,RELATED_TO,RELATED,"{""reason"": ""相关概念，急性心肌梗死是广义的概念，包含不同部位的急性心肌梗死"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""similarity"": 0.7921344637870789, ""rank"": 4, ""relation_type"": ""RELATED""}"
2,383,1814,1633,RELATED_TO,EXACT,"{""reason"": ""同义概念，后部心肌梗死与急性后部心肌梗死是相同疾病"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""similarity"": 0.8122097253799438, ""rank"": 1, ""relation_type"": ""EXACT""}"
3,71,1815,247,RELATED_TO,BROADER,"{""reason"": ""心肌病是心肌病种类，且与心肌病相关"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""similarity"": 0.7075639963150024, ""rank"": 4, ""relation_type"": ""BROADER""}"
