src,dst,src_neo4j_id,dst_neo4j_id,rel,relation_type,props_json
54,0,1690,1746,RELATED_TO,NARROWER,"{""reason"": ""specific case of AV block"", ""similarity"": 0.8522918224334717, ""rank"": 2, ""relation_type"": ""NARROWER""}"
54,1,1690,1747,RELATED_TO,NARROWER,"{""reason"": ""also a specific type of AV block"", ""similarity"": 0.8486950397491455, ""rank"": 3, ""relation_type"": ""NARROWER""}"
54,2,1690,1748,RELATED_TO,EXACT,"{""reason"": ""exact match of terms"", ""similarity"": 0.8879142999649048, ""rank"": 1, ""relation_type"": ""EXACT""}"
54,3,1690,1749,RELATED_TO,NARROWER,"{""reason"": ""particular degree of AV block"", ""similarity"": 0.7674574851989746, ""rank"": 4, ""relation_type"": ""NARROWER""}"
54,4,1690,1750,RELATED_TO,RELATED,"{""reason"": ""clinical terminology variation"", ""similarity"": 0.7098791003227234, ""rank"": 5, ""relation_type"": ""RELATED""}"
54,5,1690,1751,RELATED_TO,RELATED,"{""reason"": ""general term, AV block related"", ""similarity"": 0.5960028767585754, ""rank"": 8, ""relation_type"": ""RELATED""}"
54,6,1690,1752,RELATED_TO,RELATED,"{""reason"": ""specific finding linked to AV block"", ""similarity"": 0.6377130746841431, ""rank"": 6, ""relation_type"": ""RELATED""}"
56,7,1692,1753,RELATED_TO,RELATED,"{""reason"": ""opposite change to ST depression"", ""similarity"": 0.4930817186832428, ""rank"": 3, ""relation_type"": ""RELATED""}"
21,7,1635,1753,RELATED_TO,RELATED,"{""reason"": ""not directly related"", ""similarity"": 0.6102165579795837, ""rank"": 5, ""relation_type"": ""RELATED""}"
8,7,1615,1753,RELATED_TO,EXACT,"{""reason"": ""directly matches query concept"", ""similarity"": 0.719471275806427, ""rank"": 1, ""relation_type"": ""EXACT""}"
50,7,1681,1753,RELATED_TO,EXACT,"{""reason"": ""directly matches query"", ""similarity"": 0.7719793915748596, ""rank"": 1, ""relation_type"": ""EXACT""}"
84,7,1738,1753,RELATED_TO,RELATED,"{""reason"": ""associated finding"", ""similarity"": 0.6151828169822693, ""rank"": 6, ""relation_type"": ""RELATED""}"
74,7,1723,1753,RELATED_TO,RELATED,"{""reason"": ""opposite finding in ST segment"", ""similarity"": 0.8531914949417114, ""rank"": 2, ""relation_type"": ""RELATED""}"
38,7,1662,1753,RELATED_TO,NARROWER,"{""reason"": ""Specific type of ST change"", ""similarity"": 0.6451917886734009, ""rank"": 2, ""relation_type"": ""NARROWER""}"
34,7,1657,1753,RELATED_TO,NARROWER,"{""reason"": ""inferior ST elevation is specific to ST segment"", ""similarity"": 0.8051468133926392, ""rank"": 1, ""relation_type"": ""NARROWER""}"
18,7,1630,1753,RELATED_TO,EXACT,"{""reason"": ""directly matches ST elevation"", ""similarity"": 0.717515230178833, ""rank"": 1, ""relation_type"": ""EXACT""}"
44,7,1671,1753,RELATED_TO,EXACT,"{""reason"": ""query matches candidate exactly"", ""similarity"": 0.7598686814308167, ""rank"": 1, ""relation_type"": ""EXACT""}"
76,7,1725,1753,RELATED_TO,RELATED,"{""reason"": ""not specific to T wave"", ""similarity"": 0.5828860402107239, ""rank"": 6, ""relation_type"": ""RELATED""}"
80,7,1731,1753,RELATED_TO,RELATED,"{""reason"": ""opposite change of ST depression"", ""similarity"": 0.6085774898529053, ""rank"": 3, ""relation_type"": ""RELATED""}"
9,7,1617,1753,RELATED_TO,RELATED,"{""reason"": ""elevation absence implies relationship"", ""similarity"": 0.606590211391449, ""rank"": 3, ""relation_type"": ""RELATED""}"
7,7,1614,1753,RELATED_TO,EXACT,"{""reason"": ""exact match of finding"", ""similarity"": 0.8189506530761719, ""rank"": 1, ""relation_type"": ""EXACT""}"
52,7,1685,1753,RELATED_TO,EXACT,"{""reason"": ""matches query finding"", ""similarity"": 0.7595036625862122, ""rank"": 1, ""relation_type"": ""EXACT""}"
71,7,1720,1753,RELATED_TO,RELATED,"{""reason"": ""associative finding"", ""similarity"": 0.6189112067222595, ""rank"": 6, ""relation_type"": ""RELATED""}"
26,7,1642,1753,RELATED_TO,EXACT,"{""reason"": ""exact match to query"", ""similarity"": 0.7614099979400635, ""rank"": 1, ""relation_type"": ""EXACT""}"
15,7,1625,1753,RELATED_TO,EXACT,"{""reason"": ""synonymous finding"", ""similarity"": 0.7997424602508545, ""rank"": 1, ""relation_type"": ""EXACT""}"
42,7,1668,1753,RELATED_TO,EXACT,"{""reason"": ""same finding as query"", ""similarity"": 0.8032331466674805, ""rank"": 1, ""relation_type"": ""EXACT""}"
59,7,1697,1753,RELATED_TO,NARROWER,"{""reason"": ""specific type of ST elevation"", ""similarity"": 0.7780128121376038, ""rank"": 1, ""relation_type"": ""NARROWER""}"
31,7,1650,1753,RELATED_TO,RELATED,"{""reason"": ""elevation suggests ST elevation"", ""similarity"": 0.5109376907348633, ""rank"": 1, ""relation_type"": ""RELATED""}"
58,7,1695,1753,RELATED_TO,EXACT,"{""reason"": ""matches query closely"", ""similarity"": 0.8161227703094482, ""rank"": 1, ""relation_type"": ""EXACT""}"
13,7,1623,1753,RELATED_TO,NARROWER,"{""reason"": ""specific type of abnormality"", ""similarity"": 0.8043032884597778, ""rank"": 2, ""relation_type"": ""NARROWER""}"
16,7,1627,1753,RELATED_TO,EXACT,"{""reason"": ""same finding as query"", ""similarity"": 0.8115034699440002, ""rank"": 1, ""relation_type"": ""EXACT""}"
47,7,1674,1753,RELATED_TO,EXACT,"{""reason"": ""identical finding"", ""similarity"": 0.8041751980781555, ""rank"": 1, ""relation_type"": ""EXACT""}"
6,7,1613,1753,RELATED_TO,BROADER,"{""reason"": ""anterior is a specific case"", ""similarity"": 0.8244163393974304, ""rank"": 1, ""relation_type"": ""BROADER""}"
55,7,1691,1753,RELATED_TO,RELATED,"{""reason"": ""related ST segment issue"", ""similarity"": 0.5879890322685242, ""rank"": 6, ""relation_type"": ""RELATED""}"
35,7,1658,1753,RELATED_TO,BROADER,"{""reason"": ""broader concept than query"", ""similarity"": 0.809978187084198, ""rank"": 1, ""relation_type"": ""BROADER""}"
25,7,1640,1753,RELATED_TO,EXACT,"{""reason"": ""matches query finding"", ""similarity"": 0.6301107406616211, ""rank"": 2, ""relation_type"": ""EXACT""}"
49,7,1680,1753,RELATED_TO,EXACT,"{""reason"": ""equivalent finding"", ""similarity"": 0.7994301319122314, ""rank"": 1, ""relation_type"": ""EXACT""}"
37,7,1661,1753,RELATED_TO,RELATED,"{""reason"": ""associated with other abnormalities"", ""similarity"": 0.5612293481826782, ""rank"": 10, ""relation_type"": ""RELATED""}"
23,7,1637,1753,RELATED_TO,EXACT,"{""reason"": ""matches exact finding type"", ""similarity"": 0.7142988443374634, ""rank"": 1, ""relation_type"": ""EXACT""}"
61,7,1703,1753,RELATED_TO,NARROWER,"{""reason"": ""specific case of ST changes"", ""similarity"": 0.8270951509475708, ""rank"": 2, ""relation_type"": ""NARROWER""}"
77,7,1726,1753,RELATED_TO,RELATED,"{""reason"": ""ST segment related finding"", ""similarity"": 0.546938419342041, ""rank"": 4, ""relation_type"": ""RELATED""}"
69,7,1718,1753,RELATED_TO,EXACT,"{""reason"": ""same concept as query"", ""similarity"": 0.9243924021720886, ""rank"": 1, ""relation_type"": ""EXACT""}"
39,7,1663,1753,RELATED_TO,NARROWER,"{""reason"": ""Exaggerated is a specific case"", ""similarity"": 0.8070192933082581, ""rank"": 1, ""relation_type"": ""NARROWER""}"
60,8,1698,1754,RELATED_TO,RELATED,"{""reason"": ""General changes in ST segment"", ""similarity"": 0.5648385286331177, ""rank"": 3, ""relation_type"": ""RELATED""}"
56,8,1692,1754,RELATED_TO,RELATED,"{""reason"": ""general ST segment changes"", ""similarity"": 0.47627419233322144, ""rank"": 6, ""relation_type"": ""RELATED""}"
10,8,1618,1754,RELATED_TO,RELATED,"{""reason"": ""ST segment changes suggest ischemia"", ""similarity"": 0.49987858533859253, ""rank"": 1, ""relation_type"": ""RELATED""}"
74,8,1723,1754,RELATED_TO,RELATED,"{""reason"": ""related changes in ST segment"", ""similarity"": 0.6978169679641724, ""rank"": 4, ""relation_type"": ""RELATED""}"
53,8,1687,1754,RELATED_TO,RELATED,"{""reason"": ""change type suggests condition"", ""similarity"": 0.6118253469467163, ""rank"": 4, ""relation_type"": ""RELATED""}"
85,8,1739,1754,RELATED_TO,RELATED,"{""reason"": ""describes related changes"", ""similarity"": 0.614303469657898, ""rank"": 4, ""relation_type"": ""RELATED""}"
30,8,1648,1754,RELATED_TO,RELATED,"{""reason"": ""indicates ST changes"", ""similarity"": 0.6554566621780396, ""rank"": 4, ""relation_type"": ""RELATED""}"
70,8,1719,1754,RELATED_TO,RELATED,"{""reason"": ""general term for ST changes"", ""similarity"": 0.6927111148834229, ""rank"": 4, ""relation_type"": ""RELATED""}"
33,8,1656,1754,RELATED_TO,RELATED,"{""reason"": ""general ST changes include depression"", ""similarity"": 0.6673917174339294, ""rank"": 4, ""relation_type"": ""RELATED""}"
6,8,1613,1754,RELATED_TO,RELATED,"{""reason"": ""general changes in ST segment"", ""similarity"": 0.6698396801948547, ""rank"": 3, ""relation_type"": ""RELATED""}"
23,8,1637,1754,RELATED_TO,RELATED,"{""reason"": ""general ST changes"", ""similarity"": 0.5942838191986084, ""rank"": 4, ""relation_type"": ""RELATED""}"
50,8,1681,1754,RELATED_TO,RELATED,"{""reason"": ""general ST changes"", ""similarity"": 0.5864925384521484, ""rank"": 4, ""relation_type"": ""RELATED""}"
44,8,1671,1754,RELATED_TO,RELATED,"{""reason"": ""general ST segment changes"", ""similarity"": 0.5546761155128479, ""rank"": 6, ""relation_type"": ""RELATED""}"
34,8,1657,1754,RELATED_TO,RELATED,"{""reason"": ""ST changes include elevation"", ""similarity"": 0.6686659455299377, ""rank"": 5, ""relation_type"": ""RELATED""}"
87,8,1742,1754,RELATED_TO,RELATED,"{""reason"": ""describes abnormalities in ST"", ""similarity"": 0.6521136164665222, ""rank"": 4, ""relation_type"": ""RELATED""}"
35,8,1658,1754,RELATED_TO,RELATED,"{""reason"": ""related concept"", ""similarity"": 0.6848450899124146, ""rank"": 3, ""relation_type"": ""RELATED""}"
39,8,1663,1754,RELATED_TO,RELATED,"{""reason"": ""Broader changes included"", ""similarity"": 0.685907781124115, ""rank"": 3, ""relation_type"": ""RELATED""}"
38,8,1662,1754,RELATED_TO,EXACT,"{""reason"": ""Equivalent concept for changes"", ""similarity"": 0.6563294529914856, ""rank"": 1, ""relation_type"": ""EXACT""}"
89,8,1744,1754,RELATED_TO,RELATED,"{""reason"": ""broad ST segment changes"", ""similarity"": 0.6263063549995422, ""rank"": 4, ""relation_type"": ""RELATED""}"
32,8,1654,1754,RELATED_TO,RELATED,"{""reason"": ""change includes depression"", ""similarity"": 0.6647228598594666, ""rank"": 4, ""relation_type"": ""RELATED""}"
69,8,1718,1754,RELATED_TO,RELATED,"{""reason"": ""broader ST segment changes"", ""similarity"": 0.714106559753418, ""rank"": 4, ""relation_type"": ""RELATED""}"
13,8,1623,1754,RELATED_TO,RELATED,"{""reason"": ""general term for changes"", ""similarity"": 0.6965965628623962, ""rank"": 6, ""relation_type"": ""RELATED""}"
18,8,1630,1754,RELATED_TO,RELATED,"{""reason"": ""describes changes in ST segment"", ""similarity"": 0.5943722724914551, ""rank"": 5, ""relation_type"": ""RELATED""}"
59,8,1697,1754,RELATED_TO,RELATED,"{""reason"": ""related to ST changes"", ""similarity"": 0.652240514755249, ""rank"": 4, ""relation_type"": ""RELATED""}"
8,8,1615,1754,RELATED_TO,RELATED,"{""reason"": ""general term for ST segment changes"", ""similarity"": 0.6080699563026428, ""rank"": 4, ""relation_type"": ""RELATED""}"
43,8,1669,1754,RELATED_TO,EXACT,"{""reason"": ""Similar term and concept"", ""similarity"": 0.5126788020133972, ""rank"": 5, ""relation_type"": ""EXACT""}"
52,8,1685,1754,RELATED_TO,RELATED,"{""reason"": ""general ST segment changes"", ""similarity"": 0.5935302972793579, ""rank"": 4, ""relation_type"": ""RELATED""}"
7,8,1614,1754,RELATED_TO,RELATED,"{""reason"": ""related changes in ST segment"", ""similarity"": 0.6210552453994751, ""rank"": 5, ""relation_type"": ""RELATED""}"
15,8,1625,1754,RELATED_TO,RELATED,"{""reason"": ""related finding type"", ""similarity"": 0.6066882014274597, ""rank"": 5, ""relation_type"": ""RELATED""}"
26,8,1642,1754,RELATED_TO,RELATED,"{""reason"": ""general ST changes"", ""similarity"": 0.5762913227081299, ""rank"": 5, ""relation_type"": ""RELATED""}"
16,8,1627,1754,RELATED_TO,RELATED,"{""reason"": ""general change in ST segment"", ""similarity"": 0.6036760807037354, ""rank"": 4, ""relation_type"": ""RELATED""}"
