local_id,neo4j_id,name,ontology_id,labels,props_json
0,3,,TEMP_diseases_4517,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_4517"", ""match_method"": ""new_entity"", ""normalized_name"": ""Chronic Coronary Syndromes"", ""text"": ""CCS""}"
1,5,,D001.001,"['Disease', 'Knowledge']","{""ontology_id"": ""D001.001"", ""match_method"": ""llm_match"", ""normalized_name"": ""Myocardial_Ischemic_Disease"", ""text"": ""ischemia""}"
2,6,,D001.001.002,"['Disease', 'Knowledge']","{""ontology_id"": ""D001.001.002"", ""match_method"": ""llm_match"", ""normalized_name"": ""Stable_Angina"", ""text"": ""angina""}"
3,8,,TEMP_diseases_0998,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_0998"", ""match_method"": ""new_entity"", ""normalized_name"": ""Chronic_Coronary_Disease"", ""text"": ""chronic coronary diseases""}"
4,9,,TEMP_diseases_1230,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_1230"", ""match_method"": ""new_entity"", ""normalized_name"": ""Acute Coronary Syndrome"", ""text"": ""ACS""}"
5,10,,D001,"['Disease', 'Knowledge']","{""ontology_id"": ""D001"", ""match_method"": ""llm_match"", ""normalized_name"": ""Atherosclerotic_Stenosis"", ""text"": ""atherosclerotic stenosis""}"
6,13,,TEMP_diseases_7431,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_7431"", ""match_method"": ""new_entity"", ""normalized_name"": ""Transient_Myocardial_Ischemia"", ""text"": ""transient myocardial ischaemia""}"
7,14,,TEMP_diseases_5767,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_5767"", ""match_method"": ""new_entity"", ""normalized_name"": ""Fixed_Flow_Limiting_Stenoses"", ""text"": ""fixed, flow-limiting stenoses""}"
8,15,,TEMP_diseases_0506,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_0506"", ""match_method"": ""new_entity"", ""normalized_name"": ""Diffuse_Atherosclerotic_Lesions"", ""text"": ""diffuse atherosclerotic lesions""}"
9,16,,TEMP_diseases_1440,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_1440"", ""match_method"": ""new_entity"", ""normalized_name"": ""Myocardial_Bridging"", ""text"": ""myocardial bridging""}"
10,17,,TEMP_diseases_0416,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_0416"", ""match_method"": ""new_entity"", ""normalized_name"": ""Congenital_Arterial_Anomalies"", ""text"": ""congenital arterial anomalies""}"
