local_id,neo4j_id,label,labels,props_json
0,1812,Acute myocardial infarction,['DiseaseLabel'],"{""snomed_id"": ""312327"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""created_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""label"": ""Acute myocardial infarction"", ""source"": ""model_2_alignment""}"
1,1813,Acute anteroseptal myocardial infarction,['DiseaseLabel'],"{""snomed_id"": ""4267568"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""created_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""label"": ""Acute anteroseptal myocardial infarction"", ""source"": ""model_2_alignment""}"
2,1814,Acute posterior myocardial infarction,['DiseaseLabel'],"{""snomed_id"": ""319039"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""created_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""label"": ""Acute posterior myocardial infarction"", ""source"": ""model_2_alignment""}"
3,1815,Myocardial disease,['DiseaseLabel'],"{""snomed_id"": ""4239975"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""created_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""label"": ""Myocardial disease"", ""source"": ""model_2_alignment""}"
4,1816,Acute myocardial infarction of anterolateral wall,['DiseaseLabel'],"{""snomed_id"": ""438438"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""created_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""label"": ""Acute myocardial infarction of anterolateral wall"", ""source"": ""model_2_alignment""}"
5,1817,Acute myocardial infarction of inferolateral wall,['DiseaseLabel'],"{""snomed_id"": ""438447"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""created_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""label"": ""Acute myocardial infarction of inferolateral wall"", ""source"": ""model_2_alignment""}"
6,1818,Acute myocardial infarction of anterior wall,['DiseaseLabel'],"{""snomed_id"": ""434376"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""created_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""label"": ""Acute myocardial infarction of anterior wall"", ""source"": ""model_2_alignment""}"
7,1819,Myocardial necrosis,['DiseaseLabel'],"{""snomed_id"": ""4354249"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""created_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""label"": ""Myocardial necrosis"", ""source"": ""model_2_alignment""}"
8,1820,Subendocardial myocardial infarction,['DiseaseLabel'],"{""snomed_id"": ""765132"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""created_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""label"": ""Subendocardial myocardial infarction"", ""source"": ""model_2_alignment""}"
9,1821,Aneurysm,['DiseaseLabel'],"{""snomed_id"": ""4332246"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""created_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""label"": ""Aneurysm"", ""source"": ""model_2_alignment""}"
10,1822,Left atrial enlargement,['DiseaseLabel'],"{""snomed_id"": ""43022066"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""created_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""label"": ""Left atrial enlargement"", ""source"": ""model_2_alignment""}"
11,1823,Disorder of right cardiac ventricle,['DiseaseLabel'],"{""snomed_id"": ""4165905"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""created_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""label"": ""Disorder of right cardiac ventricle"", ""source"": ""model_2_alignment""}"
12,1824,Myocardial ischemia,['DiseaseLabel'],"{""snomed_id"": ""4186397"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""created_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""label"": ""Myocardial ischemia"", ""source"": ""model_2_alignment""}"
13,1825,Subendocardial ischemia,['DiseaseLabel'],"{""snomed_id"": ""4263712"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""created_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""label"": ""Subendocardial ischemia"", ""source"": ""model_2_alignment""}"
14,1826,Atrial cardiopathy,['DiseaseLabel'],"{""snomed_id"": ""3655971"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""created_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""label"": ""Atrial cardiopathy"", ""source"": ""model_2_alignment""}"
15,1827,Atrial flutter,['DiseaseLabel'],"{""snomed_id"": ""314665"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""created_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""label"": ""Atrial flutter"", ""source"": ""model_2_alignment""}"
16,1828,Old myocardial infarction,['DiseaseLabel'],"{""snomed_id"": ""314666"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""created_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""label"": ""Old myocardial infarction"", ""source"": ""model_2_alignment""}"
17,1829,Paroxysmal ventricular tachycardia,['DiseaseLabel'],"{""snomed_id"": ""437579"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""created_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""label"": ""Paroxysmal ventricular tachycardia"", ""source"": ""model_2_alignment""}"
18,1830,Atrioventricular conduction disorder,['DiseaseLabel'],"{""snomed_id"": ""4305210"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""created_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""label"": ""Atrioventricular conduction disorder"", ""source"": ""model_2_alignment""}"
19,1831,Atrial arrhythmia,['DiseaseLabel'],"{""snomed_id"": ""4068155"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""created_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""label"": ""Atrial arrhythmia"", ""source"": ""model_2_alignment""}"
20,1832,Ischemic heart disease,['DiseaseLabel'],"{""snomed_id"": ""4185932"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""created_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""label"": ""Ischemic heart disease"", ""source"": ""model_2_alignment""}"
21,1833,Ventricular hypertrophy,['DiseaseLabel'],"{""snomed_id"": ""4145489"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""created_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""label"": ""Ventricular hypertrophy"", ""source"": ""model_2_alignment""}"
