local_id,neo4j_id,name,labels,props_json
0,1746,Complete atrioventricular block,['FindingLabel'],"{""name"": ""Complete atrioventricular block""}"
1,1747,Partial atrioventricular block,['FindingLabel'],"{""name"": ""Partial atrioventricular block""}"
2,1748,Atrioventricular block,['FindingLabel'],"{""name"": ""Atrioventricular block""}"
3,1749,First degree atrioventricular block,['FindingLabel'],"{""name"": ""First degree atrioventricular block""}"
4,1750,EKG: complete atrioventricular block,['FindingLabel'],"{""name"": ""EKG: complete atrioventricular block""}"
5,1751,EKG: heart block,['FindingLabel'],"{""name"": ""EKG: heart block""}"
6,1752,ECG: partial atrioventricular block - long PR,['FindingLabel'],"{""name"": ""ECG: partial atrioventricular block - long PR""}"
7,1753,ST segment elevation,['FindingLabel'],"{""name"": ""ST segment elevation""}"
8,1754,EKG ST segment changes,['FindingLabel'],"{""name"": ""EKG ST segment changes""}"
9,1755,ECG: ST interval abnormal,['FindingLabel'],"{""name"": ""ECG: ST interval abnormal""}"
10,1756,Nonspecific ST-T abnormality on electrocardiogram,['FindingLabel'],"{""name"": ""Nonspecific ST-T abnormality on electrocardiogram""}"
11,1757,ST segment - finding,['FindingLabel'],"{""name"": ""ST segment - finding""}"
12,1758,Lateral infarction on electrocardiogram,['FindingLabel'],"{""name"": ""Lateral infarction on electrocardiogram""}"
13,1759,EKG: QRS complex abnormal,['FindingLabel'],"{""name"": ""EKG: QRS complex abnormal""}"
14,1760,EKG: lateral ischemia,['FindingLabel'],"{""name"": ""EKG: lateral ischemia""}"
15,1761,QRS complex - finding,['FindingLabel'],"{""name"": ""QRS complex - finding""}"
16,1762,Anterolateral infarction by electrocardiogram,['FindingLabel'],"{""name"": ""Anterolateral infarction by electrocardiogram""}"
17,1763,ST segment depression,['FindingLabel'],"{""name"": ""ST segment depression""}"
18,1764,EKG: anterior ischemia,['FindingLabel'],"{""name"": ""EKG: anterior ischemia""}"
19,1765,Inverted T wave,['FindingLabel'],"{""name"": ""Inverted T wave""}"
20,1766,EKG: T wave abnormal,['FindingLabel'],"{""name"": ""EKG: T wave abnormal""}"
21,1767,Anteroseptal infarction on electrocardiogram,['FindingLabel'],"{""name"": ""Anteroseptal infarction on electrocardiogram""}"
22,1768,Flattened T wave,['FindingLabel'],"{""name"": ""Flattened T wave""}"
23,1769,EKG: inferior ischemia,['FindingLabel'],"{""name"": ""EKG: inferior ischemia""}"
24,1770,EKG myocardial ischemia,['FindingLabel'],"{""name"": ""EKG myocardial ischemia""}"
25,1771,Left ventricular hypertrophy,['FindingLabel'],"{""name"": ""Left ventricular hypertrophy""}"
26,1772,EKG: subendocardial infarct,['FindingLabel'],"{""name"": ""EKG: subendocardial infarct""}"
27,1773,EKG: right ventricle hypertrophy,['FindingLabel'],"{""name"": ""EKG: right ventricle hypertrophy""}"
28,1774,Ventricular hypertrophy by EKG,['FindingLabel'],"{""name"": ""Ventricular hypertrophy by EKG""}"
29,1775,Anterior myocardial infarction on electrocardiogram,['FindingLabel'],"{""name"": ""Anterior myocardial infarction on electrocardiogram""}"
30,1776,Inferior myocardial infarction on electrocardiogram,['FindingLabel'],"{""name"": ""Inferior myocardial infarction on electrocardiogram""}"
31,1777,Old inferior myocardial infarction,['FindingLabel'],"{""name"": ""Old inferior myocardial infarction""}"
32,1778,T wave - finding,['FindingLabel'],"{""name"": ""T wave - finding""}"
33,1779,Electrocardiogram abnormal,['FindingLabel'],"{""name"": ""Electrocardiogram abnormal""}"
34,1780,ECG normal,['FindingLabel'],"{""name"": ""ECG normal""}"
35,1781,Low QRS voltages,['FindingLabel'],"{""name"": ""Low QRS voltages""}"
36,1782,Decreased electrocardiogram voltage,['FindingLabel'],"{""name"": ""Decreased electrocardiogram voltage""}"
37,1783,QRS complex height decreased,['FindingLabel'],"{""name"": ""QRS complex height decreased""}"
38,1784,Digitalis ECG pattern,['FindingLabel'],"{""name"": ""Digitalis ECG pattern""}"
39,1785,Left anterior fascicular block,['FindingLabel'],"{""name"": ""Left anterior fascicular block""}"
40,1786,Left anterior fascicular block on electrocardiogram,['FindingLabel'],"{""name"": ""Left anterior fascicular block on electrocardiogram""}"
41,1787,EKG: myocardial infarction,['FindingLabel'],"{""name"": ""EKG: myocardial infarction""}"
42,1788,Myocardial lesion,['FindingLabel'],"{""name"": ""Myocardial lesion""}"
43,1789,EKG: old myocardial infarction,['FindingLabel'],"{""name"": ""EKG: old myocardial infarction""}"
44,1790,Myocardial finding,['FindingLabel'],"{""name"": ""Myocardial finding""}"
45,1791,ECG: sinus rhythm,['FindingLabel'],"{""name"": ""ECG: sinus rhythm""}"
46,1792,ECG: sinus bradycardia,['FindingLabel'],"{""name"": ""ECG: sinus bradycardia""}"
47,1793,ECG: bradycardia,['FindingLabel'],"{""name"": ""ECG: bradycardia""}"
48,1794,ECG: sinus arrhythmia,['FindingLabel'],"{""name"": ""ECG: sinus arrhythmia""}"
49,1795,ECG waveform - finding,['FindingLabel'],"{""name"": ""ECG waveform - finding""}"
50,1796,ECG voltage - finding,['FindingLabel'],"{""name"": ""ECG voltage - finding""}"
51,1797,ECG: ectopic beats,['FindingLabel'],"{""name"": ""ECG: ectopic beats""}"
52,1798,QRS complex height increased,['FindingLabel'],"{""name"": ""QRS complex height increased""}"
53,1799,Cardiac rhythm AND/OR rate finding,['FindingLabel'],"{""name"": ""Cardiac rhythm AND/OR rate finding""}"
54,1800,EKG hypertrophy,['FindingLabel'],"{""name"": ""EKG hypertrophy""}"
55,1801,Aberrant premature complexes,['FindingLabel'],"{""name"": ""Aberrant premature complexes""}"
56,1802,Right bundle branch block,['FindingLabel'],"{""name"": ""Right bundle branch block""}"
57,1803,Left bundle branch block,['FindingLabel'],"{""name"": ""Left bundle branch block""}"
58,1804,Incomplete right bundle branch block,['FindingLabel'],"{""name"": ""Incomplete right bundle branch block""}"
59,1805,Incomplete left bundle branch block,['FindingLabel'],"{""name"": ""Incomplete left bundle branch block""}"
60,1806,Complete left bundle branch block,['FindingLabel'],"{""name"": ""Complete left bundle branch block""}"
61,1807,Complete right bundle branch block,['FindingLabel'],"{""name"": ""Complete right bundle branch block""}"
62,1808,Bundle branch block,['FindingLabel'],"{""name"": ""Bundle branch block""}"
63,1809,EKG: complete right bundle branch block,['FindingLabel'],"{""name"": ""EKG: complete right bundle branch block""}"
64,1810,EKG: left bundle branch block,['FindingLabel'],"{""name"": ""EKG: left bundle branch block""}"
65,1811,ECG complete left bundle branch block,['FindingLabel'],"{""name"": ""ECG complete left bundle branch block""}"
