Feature,Importance
P_Found_Global,0.008630706229191905
P_AreaFull_aVR,0.007205103439430833
QRS_Area_V1,0.006774800408323753
R_Dur_V6,0.006656724296143215
HR_Atrial_Global,0.00654715952518696
T_AreaFull_V6,0.0051027304114047755
T_AreaFull_V5,0.00494291885312986
QRS_Dur_Global,0.004679241245296799
R_Area_V2,0.004651487096098362
R_Area_V3,0.004493454273916402
ST_Amp18_V6,0.004442400284954031
R_PeakTime_V6,0.004434784336639095
RR_Mean_Global,0.004195146207644415
T_Amp_aVR,0.003963283247361749
R_Dur_I,0.003935913021589424
Q_Dur_aVF,0.0039087772769932395
QRS_Area_II,0.0038626782915020218
QRS_Area_I,0.0038481381776919233
P-_Dur_aVR,0.003711215920856822
T+_Amp_V5,0.0036323109429065234
T_AmpSpecial_V3,0.0035023185990798143
PR_Int_Global,0.0035009982865461605
R_Area_V5,0.0034165935930243487
Rp_Area_V1,0.0034077953056358807
T_AreaFull_I,0.003347930699558258
ST_Amp18_aVR,0.003315833884452162
T_AmpSpecial_V5,0.003302198822631785
P_AreaFull_I,0.0032636991916167634
T_Amp_V5,0.0032431545436246148
R_Amp_aVL,0.003238888742844673
R_Amp_V5,0.003224575573428518
QRS_Balance_V5,0.0031767180741969813
T_AmpSpecial_V4,0.003136105328217204
ST_Amp18_V5,0.0031359248907577592
R_Area_V6,0.003098404334026381
S_Dur_V1,0.003021833153887478
T_AmpSpecial_aVR,0.002946044535423487
R_PeakTime_V4,0.002941761249469167
Q_Area_III,0.0029171498946059236
R_AxisFrontal_Global,0.0028879089891156815
ST_AmpMin_V1,0.0028434436796903927
QRS_Balance_aVL,0.002839143717241221
T_AmpSpecial_V6,0.00281048014264759
Max_R_Amp_V6,0.0027613991099978024
T+_Dur_V6,0.002746180812256032
P_AreaFull_II,0.0027207575634346833
QRS_Balance_V6,0.0026880936213459234
T_AreaFull_aVR,0.0026775643886047243
QRS_Area_V2,0.0026774460669203417
QRS_Area_aVR,0.002666447910488094
Q_Dur_II,0.00266405133830415
R_Area_III,0.0026566061318035127
T-_Amp_V3,0.0026446657205470127
ST_AmpMin_V2,0.0026199031694963872
P_Area_III,0.002611716137927665
QRS_AmpPP_aVR,0.002597660508985489
QRS_AmpPP_III,0.0025941422366994923
QRS_AmpPP_V6,0.002588753747335493
T_Area_aVF,0.0025725181403686292
R_PeakTime_V5,0.002531624901289973
R_Dur_V2,0.0025295588869593596
R_Dur_V4,0.002528626986747702
ST_Amp116_V1,0.0025272327001695915
QRS_Balance_II,0.0025264553708947753
T+_Dur_V5,0.00251201177371066
Q_Area_aVF,0.0025069501768438525
R_Amp_V4,0.0024937380261135177
QRS_Area_V4,0.002457238165010556
T_AreaFull_V3,0.002454434442570654
T_Area_I,0.0024452158053602526
S_Amp_V1,0.002443822939836783
R_Area_I,0.002442240740677689
T+_Dur_V3,0.002424582495623943
HR_Ventr_Global,0.0024102034980603357
R_Amp_V6,0.002401685278558851
R_Amp_V2,0.0023928515226343426
Q_Dur_V5,0.0023867997054259245
R_Dur_aVL,0.0023857508016497655
ST_Amp116_II,0.0023715657855865498
QT_IntBazett_Global,0.0023696017801816873
R_PeakTime_V2,0.0023618558045847625
ST_Amp116_V5,0.0023562166641537354
QRS_Area_V6,0.002349154527449065
S_Area_I,0.002341771978289047
QRS_Area_V3,0.0023377574081246554
ST_AmpMin_III,0.002337200579951691
S_Dur_V2,0.0023367120519327787
ST_Amp18_I,0.002328169419157903
ST_Amp116_V3,0.0023137286563909027
ST_Amp116_aVR,0.0023084066130449775
R_Area_V4,0.0023073140194402046
QRS_Balance_V1,0.0023070363469926986
Q_Dur_V2,0.002304886916644429
R_Amp_aVF,0.0022926829016364923
ST_Amp18_aVF,0.002290666487138971
P_Area_aVR,0.0022870008115976324
R_Dur_V3,0.0022811763406873253
S_Area_V2,0.0022749925733709674
R_Amp_V3,0.002273838896055661
QRS_AmpPP_V5,0.0022698023777762903
Max_R_Amp_III,0.0022635307181251662
QRS_AmpPP_V1,0.002260281276687885
T_Amp_V4,0.0022320962176863913
QRS_AmpPP_aVL,0.002225768263057127
ST_AmpMax_V1,0.0022255606047603916
P_PeakTime_V3,0.002222683487886216
Max_R_Amp_V5,0.002219661123659935
Q_PeakTime_aVR,0.002202909692364224
S_Amp_V2,0.0022011206256755
R_PeakTime_aVL,0.0021995479195138
R_Dur_V5,0.002194494655714923
ST_Amp18_V2,0.002192140027391823
S_Dur_V6,0.00218974367465816
ST_Amp116_V6,0.002183539926575623
T_PeakTime_aVR,0.0021817682481615535
P_Off_Global,0.002166152499631931
R_Amp_III,0.0021611306584742064
S_Area_V5,0.0021602647476217916
ST_AmpMin_V5,0.002159893979866973
Max_S_Amp_aVR,0.002152028299722094
T_AmpSpecial_aVF,0.0021495777192146724
S_Area_V4,0.002146496459934466
R_PeakTime_II,0.0021428317534520243
T_AmpSpecial_V1,0.0021415641373496944
T+_Dur_I,0.0021357239495076916
T_AmpSpecial_I,0.00213151507551182
S_Area_V6,0.0021304291385912605
T+_Dur_II,0.002124339497008882
QRS_AmpPP_I,0.0021189760803481785
T+_Amp_V3,0.002118656735855423
QRS_AmpPP_II,0.002117274197852397
QRS_AmpPP_aVF,0.002116763662404807
QRS_AmpPP_V2,0.002114424661050503
ST_Amp18_II,0.0021113482552039893
ST_Amp116_V4,0.0021059656756440715
T_PeakTime_V1,0.0021017722418468633
R_Area_aVL,0.002099056399656239
ST_Amp116_I,0.002096299467789862
T_Off_II,0.002080796725980906
T_PeakTime_I,0.002080040282897367
T+_Amp_V6,0.002079165912079388
T_Amp_V6,0.002076801909054866
QRS_On_Global,0.0020691364445186897
Max_S_Amp_aVF,0.0020679550435812356
ST_AmpMin_aVL,0.002065276981253284
Max_R_Amp_V3,0.0020613028728047986
T_Amp_aVF,0.002060788234457042
Q_Dur_I,0.0020586811578280086
R_PeakTime_III,0.0020548717697916586
ST_Amp116_aVF,0.0020477004034515725
Q_Amp_aVF,0.00204630531898455
R_Dur_II,0.002045630478602045
T_PeakTime_V5,0.0020448761788429692
QRS_Off_Global,0.002043677720347798
T_Area_aVR,0.0020387164954396
QRS_Balance_aVR,0.002036859629620498
Q_Area_aVR,0.0020351844585216527
S_Area_V3,0.002034112700099378
T_PeakTime_aVL,0.0020329397247208407
ST_AmpMin_V3,0.0020319062994962746
QRS_AmpPP_V3,0.0020277388825503543
ST_Amp18_III,0.0020207547339989597
T_Area_V6,0.002020127136285922
QRS_Balance_V3,0.002016082335997499
ST_AmpMax_V5,0.0020134087770711014
Max_R_Amp_V2,0.0020093777319574254
S_Amp_II,0.002009265072509583
S_PeakTime_V5,0.0020081550509361075
ST_Amp18_V1,0.002007258175951192
T_PeakTime_V4,0.0020053884393330347
R_Amp_I,0.002002491900091596
T+_Dur_V4,0.001988496492277452
T_PeakTime_V6,0.0019853304700641816
T_Off_Global,0.0019805576599013627
Max_S_Amp_III,0.00197936421380106
ST_AmpMax_aVL,0.001978388580999123
Max_S_Amp_aVL,0.001978315871753493
T_Area_V5,0.00197656911139779
QT_Int_Global,0.001975335726826215
P_Dur_V1,0.0019720341236788338
P_PeakTime_V1,0.0019700690754689276
T_On_Global,0.0019684823723687492
T_DurFull_aVR,0.001967547718885402
T+_Dur_aVF,0.001965434024834579
T_Amp_II,0.0019631184215263523
P+_Dur_V2,0.001962641094058014
R_Amp_II,0.0019602033051157024
T_AreaFull_III,0.0019599640817416957
S_PeakTime_V1,0.001959445143919596
T_AmpSpecial_V2,0.0019541689245547245
QRS_AmpPP_V4,0.0019491655519972082
Max_S_Amp_I,0.0019486666759633918
T_DurFull_V6,0.0019451713962275712
P_OnsAmp_I,0.0019442566697114795
R_Dur_aVF,0.0019370801090775847
T_DurFull_I,0.0019314841444256826
QRS_Balance_I,0.0019238821634829392
P_PeakTime_III,0.0019222276839743352
P_On_Global,0.0019214611995760035
T_Dur_I,0.0019207404165773384
ST_AmpMin_I,0.0019097235217178437
Q_Dur_III,0.001904587373971126
T_AmpSpecial_aVL,0.0019012903112062781
Max_S_Amp_V1,0.001901007151345612
R_Area_V1,0.0019008463351707116
P_AreaFull_aVF,0.001898043501384209
Rp_Dur_V1,0.0018970425015264112
P_PeakTime_aVL,0.0018964427226357224
T_Dur_aVF,0.0018952633298625697
P-_Dur_V1,0.0018951406833613133
S_Dur_V3,0.0018914850723191748
Max_R_Amp_V1,0.001890101438729582
Max_S_Amp_V6,0.001886685459624968
ST_AmpMin_V4,0.001885834304044631
T_Off_V3,0.0018855816201490381
R_Area_II,0.0018843029538402334
S_PeakTime_III,0.0018837327991959528
Max_R_Amp_II,0.0018835989260154193
T_Area_V3,0.0018811935977714326
T-_Dur_V3,0.0018761556741576325
QT_IntFramingham_Global,0.0018732676921822762
T_PeakTime_II,0.0018729552891997272
S_PeakTime_II,0.0018706757499307584
Q_Amp_aVR,0.0018706358784846213
P_OnsAmp_V2,0.0018696719676974402
T_Amp_I,0.001869114554364834
P_PeakTime_V5,0.0018676615029601063
T_AxisFront_Global,0.0018670118223457456
T_Off_aVL,0.001864123744179763
T_DurFull_V1,0.001864120917655212
ST_AmpMax_III,0.0018631541379209473
T_Area_V1,0.001861415448624515
P+_Dur_V1,0.0018577701158099414
T_Amp_V3,0.0018576701304636564
Q_Dur_aVL,0.0018569206642835418
ST_AmpMin_V6,0.001856297222128872
QRS_Balance_V2,0.0018557256997278812
Max_R_Amp_aVF,0.0018446522075988715
T_AmpSpecial_III,0.0018413134143190552
T-_Dur_aVR,0.0018410750197876103
ST_Amp116_V2,0.0018398981510318216
P_AxisFront_Global,0.0018359469506352888
T_Off_V5,0.0018320369467107673
P_Area_aVF,0.001831814019262033
T_PeakTime_V2,0.0018286976407842427
QRS_Balance_aVF,0.0018286873363017625
T_Amp_V2,0.001825480357846403
P_OnsAmp_III,0.001824589245173275
ST_AmpMax_aVR,0.001821925758800501
S_PeakTime_V2,0.0018133266870390182
T_AreaFull_aVF,0.0018121109475279069
R_PeakTime_aVF,0.0018116941224681055
P_DurFull_V1,0.0018101007639631723
ST_AmpMax_I,0.0018077440349231237
T_Off_III,0.0018075331733552187
S_Amp_V6,0.0018044193684699614
S_Amp_V5,0.0018012720452211166
ST_Amp18_V3,0.0017989429053791278
R_Dur_III,0.001798367567539957
S_Amp_V3,0.0017927062896995853
R_PeakTime_I,0.0017922081332841825
Max_S_Amp_V5,0.0017859792622680365
S_Dur_V4,0.0017850620946373349
S_Dur_V5,0.001781562890786425
T_Off_V4,0.0017787986523787474
T_AmpSpecial_II,0.0017722076245571755
P_Term_V1,0.0017696967081095771
R_PeakTime_aVR,0.001767698741740926
T_Off_V6,0.001764461105853177
P_Area_II,0.0017644352277383698
T+_Amp_V4,0.0017585486364978197
Q_Dur_aVR,0.0017583062006343748
P_DurFull_V2,0.0017563695027848106
